ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T04:59:06.992609,esp32-sound,66,16,5809804
2025-10-30T04:59:09.339694,esp32-sound,66,16,5812263
2025-10-30T04:59:11.882741,esp32-sound,66,16,5814618
2025-10-30T04:59:14.369877,esp32-sound,66,16,5817176
2025-10-30T04:59:16.914712,esp32-sound,66,16,5819633
2025-10-30T04:59:19.579587,esp32-sound,66,16,5822293
2025-10-30T04:59:22.549548,esp32-sound,66,16,5824966
2025-10-30T04:59:25.425093,esp32-sound,66,16,5827931
2025-10-30T04:59:27.869450,esp32-sound,66,16,5830693
2025-10-30T04:59:30.333531,esp32-sound,66,16,5833151
2025-10-30T04:59:32.893269,esp32-sound,66,16,5835608
2025-10-30T04:59:35.555456,esp32-sound,66,16,5838168
2025-10-30T04:59:39.030320,esp32-sound,66,16,5841140
2025-10-30T04:59:41.701228,esp32-sound,66,16,5844412
2025-10-30T04:59:44.273722,esp32-sound,66,16,5846975
2025-10-30T04:59:46.974633,esp32-sound,66,16,5849535
2025-10-30T04:59:49.679638,esp32-sound,66,16,5852296
2025-10-30T04:59:52.064926,esp32-sound,66,16,5854964
2025-10-30T04:59:54.396718,esp32-sound,67,17,5857320
2025-10-30T04:59:56.854521,esp32-sound,66,16,5859672
2025-10-30T04:59:59.209965,esp32-sound,66,16,5862133
2025-10-30T05:00:02.308883,esp32-sound,66,16,5864489
2025-10-30T05:00:05.185082,esp32-sound,66,16,5867761
2025-10-30T05:00:08.229404,esp32-sound,66,16,5870531
2025-10-30T05:00:11.402328,esp32-sound,65,15,5873803
2025-10-30T05:00:14.065581,esp32-sound,66,16,5876671
2025-10-30T05:00:16.619834,esp32-sound,66,16,5879334
2025-10-30T05:00:19.186280,esp32-sound,67,17,5881995
2025-10-30T05:00:21.843179,esp32-sound,66,16,5884455
2025-10-30T05:00:24.297383,esp32-sound,66,16,5887117
2025-10-30T05:00:26.876484,esp32-sound,66,16,5889575
2025-10-30T05:00:29.621862,esp32-sound,66,16,5892235
2025-10-30T05:00:32.307106,esp32-sound,66,16,5895101
2025-10-30T05:00:35.253627,esp32-sound,66,16,5897662
2025-10-30T05:00:37.969761,esp32-sound,66,16,5900637
2025-10-30T05:00:40.378487,esp32-sound,66,16,5903324
2025-10-30T05:00:42.947731,esp32-sound,66,16,5905648
2025-10-30T05:00:45.496579,esp32-sound,67,17,5908192
2025-10-30T05:00:48.324798,esp32-sound,67,17,5910772
2025-10-30T05:00:51.484351,esp32-sound,66,16,5913745
2025-10-30T05:00:54.097133,esp32-sound,66,16,5916811
2025-10-30T05:00:56.452457,esp32-sound,65,15,5919374
2025-10-30T05:00:58.734841,esp32-sound,66,16,5921726
2025-10-30T05:01:01.164311,esp32-sound,66,16,5923964
2025-10-30T05:01:03.765239,esp32-sound,66,16,5926439
2025-10-30T05:01:06.284510,esp32-sound,66,16,5929100
2025-10-30T05:01:08.844646,esp32-sound,65,15,5931562
2025-10-30T05:01:11.404912,esp32-sound,67,17,5934119
2025-10-30T05:01:13.964991,esp32-sound,67,17,5936782
2025-10-30T05:01:16.471721,esp32-sound,66,16,5939240
2025-10-30T05:01:19.122565,esp32-sound,66,16,5941900
2025-10-30T05:01:21.763572,esp32-sound,66,16,5944461
2025-10-30T05:01:24.102194,esp32-sound,66,16,5947023
2025-10-30T05:01:26.562922,esp32-sound,66,16,5949381
2025-10-30T05:01:29.128085,esp32-sound,66,16,5951836
2025-10-30T05:01:31.931787,esp32-sound,66,16,5954396
2025-10-30T05:01:34.517374,esp32-sound,66,16,5957259
2025-10-30T05:01:37.704028,esp32-sound,66,16,5960341
2025-10-30T05:01:40.585644,esp32-sound,66,16,5963095
2025-10-30T05:01:43.632429,esp32-sound,66,16,5965967
2025-10-30T05:01:46.475505,esp32-sound,66,16,5969140
2025-10-30T05:01:49.295206,esp32-sound,66,16,5971911
2025-10-30T05:01:52.337032,esp32-sound,66,16,5974669
2025-10-30T05:01:55.632408,esp32-sound,66,16,5978054
2025-10-30T05:01:58.207367,esp32-sound,66,16,5981022
2025-10-30T05:02:00.772803,esp32-sound,66,16,5983478
2025-10-30T05:02:03.222492,esp32-sound,67,17,5985999
2025-10-30T05:02:05.711355,esp32-sound,66,16,5988496
2025-10-30T05:02:08.258229,esp32-sound,66,16,5991053
2025-10-30T05:02:10.798635,esp32-sound,66,16,5993615
2025-10-30T05:02:13.255964,esp32-sound,67,17,5996074
2025-10-30T05:02:15.829551,esp32-sound,66,16,5998531
2025-10-30T05:02:18.283874,esp32-sound,66,16,6001094
2025-10-30T05:02:20.944407,esp32-sound,66,16,6003549
2025-10-30T05:02:23.376346,esp32-sound,66,16,6006209
2025-10-30T05:02:26.153661,esp32-sound,66,16,6008769
2025-10-30T05:02:29.053460,esp32-sound,66,16,6011433
2025-10-30T05:02:31.790830,esp32-sound,66,16,6014401
2025-10-30T05:02:34.541897,esp32-sound,66,16,6017167
2025-10-30T05:02:37.219984,esp32-sound,66,16,6019829
2025-10-30T05:02:39.643217,esp32-sound,66,16,6022494
2025-10-30T05:02:42.242673,esp32-sound,66,16,6024955
2025-10-30T05:02:44.797431,esp32-sound,66,16,6027611
2025-10-30T05:02:47.151857,esp32-sound,66,16,6030072
2025-10-30T05:02:49.488705,esp32-sound,66,16,6032429
2025-10-30T05:02:51.947047,esp32-sound,66,16,6034722
2025-10-30T05:02:54.319011,esp32-sound,67,17,6037242
2025-10-30T05:02:56.861780,esp32-sound,66,16,6039595
2025-10-30T05:02:59.257875,esp32-sound,65,15,6042083
2025-10-30T05:03:05.355956,esp32-sound,65,15,6044715
2025-10-30T05:03:10.877691,esp32-sound,65,15,6051057
2025-10-30T05:03:13.782487,esp32-sound,66,16,6056152
2025-10-30T05:03:16.589779,esp32-sound,67,17,6059157
2025-10-30T05:03:19.303899,esp32-sound,66,16,6062024
2025-10-30T05:03:22.417616,esp32-sound,67,17,6064682
2025-10-30T05:03:24.878411,esp32-sound,66,16,6067756
2025-10-30T05:03:27.293213,esp32-sound,66,16,6070101
2025-10-30T05:03:29.854346,esp32-sound,66,16,6072569
2025-10-30T05:03:32.413331,esp32-sound,66,16,6075129
2025-10-30T05:03:35.266919,esp32-sound,66,16,6077896
2025-10-30T05:03:38.763484,esp32-sound,66,16,6080556
